name
Ghanshyam Rohera
Robin Chaudhary
Sachin Chhabra
Vedita Pratap Singh
Divij Kak
Subrata Bose
Anup Singh
Akhtar Mirza
Victor John
Kalyan Kumar
Sundeep Malani
Abdul Gaffar Khan
Master Shams
A.L. Vijay
Kesava Kumar
Bhaskar Sharma
Sheela Gaud
Nyra Banerjee
Chandersen Singh
Vishal Goriya
Rushad Rana
Hritu Dudani
Majid Khan
Antonio Aakeel
Ganesh Kumar
Aman Jain
Aruna Irani
Poonam Sinha
Ashish Saleem
Ankush Salgotra
Tarun Anand
Bhupati
N.K. Pant
Kiran Nakti
Sunita Sen Gupta
Sanjeev Vedwan
Rekha Mishra
Homi Master
Riya Vij
Aaditya Pratap Singh
Madhuri
Bhushan Vikas
Neeraj Ghaywan
Ashok Insan
Bhavna Talwar
Sahira
Harshul Mehta
Indrapal Ahuja
Soni Jha
Anand Joshi
Master Anil
Manik Prem
Tarun Dhanrajgir
Moolchand
A.V.M. Rajan
Teja
Neha Bamb
Rahul Sharma
Pattanna
Jhanvi Dwivedi
Rajan Sippy
Harish Kotian
Suryakant Tyagi
Ranjeet Jha
M.K. Burman
Sailesh Kumar
Om Katare
Deep Dholakia
Suresh Thomas
Aadish Keluskar
Rs Chaudary
Param Sivan
Sooraj Kumar Sharma
Ramesha K Barti
Sanjay Tripathi
Saumendra Dash
Shanta Majumdar
Sarala Kariyawasam
Sandish Gandhi
Jayanthi
Mamik Singh
Bhushan Kumar
Yashwant Dutt
Shravan Rathod
Priti Singh
Shukla Barnali Ray
Manju Bhatia
Sweta Sharma
Manish Kumar Srivastava
Kashinath
Rajshekhar Kapoor
Narendra Jetley
Jaspal Singh
Pervin Dastur
Deepak Bandhu
Govinda
Devdutt Budholiya
Tridha Choudhury
Shiba Bhardwaj
John Hunt
S. Ali Raza
Pranati Rai Prakash
Sadashiv Amrapurkar
Ayesha Mohan
Aayush Sharma
Ruchika Dhankhar
Malathi
Surveen Chawla
Prem Panag
Ashok Gaekwad
Sitara Devi
V.M. Badola
Nakul Bhalla
Madhu Shalini
Aryan Vaid
Harsh Kohli
Nitin Chaudhary
Tabrez Hashmi
Rumesh Lal
Mohinder
Manu Warrier
Saeed Akhtar Mirza
Mann Hora
Arindam Mitra
Simple Kapadia
Kamalakar Torne
Nrupa Soman
Ravi Guddar
Saurabh Goyal
Parminder Ghumman
Star:Dibyendu Bhattacharya
Jyoti Sethi
Ismail Umarr Khan
Rashid Khan
Shiri Khan
Star:Dhriti Pati Sarkar
Uday Chopra
Tanveer Hashmi
Rajesh Bonik
A B Arjun
Pranay Dixit
Ganesh Pardeshi
Pragya Singh Rawat
Deepti Daryanani
Ashok K Mishra
Taran Dhasmana
Nikhil Bhat
Pavan Kaul
Lakshmi Gopalaswamy
Pandey
Kirti Doshi
Pathy Aiyar
Ajay Mahendru
Sanjay Niranjan
Tanuja Chandra
Sunil Agnihotri
Abir Sengupta
Locket Chatterjee
Anisha
Poonam Ingle
Aino Annuddin
Sritama Dutta
Naresh Neb
Kulvinder Ghir
Neeraj Pandey
Rinil Routh
Sheetal Agashe
Mangla
Aparna Sen
Silk Smitha
Akash Jain
Gayatri Jayaraman
Aditya pratap singh Raghuvanshi
Sahil Padwal
Dipu Karunakaran
Puneet Sira
Rajkumar Kanaujiya
Jugal Raja
Pawan Malhotra
Najma
Kanak Khanna
Hk Verma
Shalaka Apte
Farooq Shaikh
Anil v Kumar
Igor Alekseyev
Amarasigamani
Jayantika Sen Gupta
Ajit Singh
Sudesh
Kunal Kumar
Arsh Chawla
Sreedharan Karthikeyan
Tadu Tayung
Mohmmad Yunus Ismail
Hitesh Bisht
Leela Prasad
Beypore Mani
Ishwar Insan
Etitesham Hussain
Sudha Chopra
Jagat Joon
Suman Singh
Praveen Maheswari
Pooja Gupta
Ramkumar Bohra
Abhigyan Jha
Rajesh Babbar
Shakira
Vrunda Gajendra
Smittika Acharyaa
Suman Agarwal
Sukhada Yash
Pratibha
Ravi Udyawar
Roma Manik
Chinni Chetan
Anjan Srivastav
Kunal Khemu
Narendra Singh
Rekha Varma
Dhirendra Bohra
Madhu Apte
P.S. Prakash
Abhay Singh
B.K. Adarsh
Amit Dahiya Badshah
Mrinmayee Godbole
Rohit Aarrya
Behram Mukadam
Vicky Tejwani
Mumait Khan
Tilak
Rahsaan Noor
Anushka Sharma
Afzal Ahmed
Disha Pandey
Deepak Halder
Rajesh Tandon
Shaheen
Vishal Choudhary
Shobhna
Sushma Ahuja
Ajay Raj
Ashraf Ali
Bablu Rai
Zoya Hussain
Candice Boucher
Usha Ganesarajah
Meenal Kapoor
Zia-ur-Rasheed
Prawaal Raman
Durgesh Nandini
Shyamal K. Mishra
Anjali Kolhapuri
Guddan
Sangeeta Bijlani
Aanushka Ramesh
Pallavi Shetty
Vishaka
Bunty Anand
Venus Jain
Sangeeta Tiwari
Benjamin Gilani
Bachan Pachera
Goutam Pawar
Ahran Chaudhary
Rajendra Bhatia
Shubhankar Atre
Bhupatrai
Harish Shah
Akkineni Kutumba Rao
Nitin Kerur
Ivan Tan Eng Hong
P.S. Murthy
Sikander Khan
Ajay Sharma
Jaya Seal
Deepak Baldev
Akhilesh Jaiswal
Mrinmai Kolwalkar
Jayveer Panghaal
Ayush Pathak
Prasad Shikhare
Bijju
Rani Deepa
Safdar Rahman
Mithilesh Chaturvedi
Hridesh Kamble
Raju Khan
Lillete Dubey
Jhangir Badshah
Sookrit Malik
Rahat Kazmi
Reema Khan
Sai Kabir
Sonia Mehra
Aasad Mirza
Tanishq Rajan
Ami Asthana
Atul Yadav
Kamal Sidhu
Paru Uma
Megha
Bunty Bedi
Star:Rajkumari
Rajesh Khattar
Adeel Chaudhry
Attaullah Khan
Heena Dsouza
Tabrez
Hema Bisht
Rajesh
Gautam Joglekar
Jyoti Chowdhary
Deep Dhillon
Sarvagya Jain
Pooja Baksh
Manoj Bhatia
Faraz Arif Ansari
Aditya Rajput
K. Prasad
Ram Gopal Varma
Radhakant
Mohan Singh Kavia
Spandan Banerjee
Rohit Kaushik
Rajeshwari Sachdev
Pawan Gill
Dharmendra Rana
Dhamu
Suman Negi
Madhura Naik
Susi Ganesan
Zaira Wasim
Prakhar Morchhale
Pankaj Kr Virat
Johnny Whisky
Trushant Ingle
Baldev Rana
N. Maharajan
Nurjahan
Karan Darra
Ram Govind
Neelam r Singh
Alisha Chinai
Puru Chibber
Mohanji Prasad
Kewal Krishna
Sandip Ray
K.B. Lall
Manjari Fadnnis
I.A. Siddique
Cherag Ruparel
Dinesh Thakkar
Shabana Azmi
Sudharani
Sunil Mathur
Shikhi Gupta
J.K. Bihari
Aditi Singh
Mohit Hussain
Kamlabai Gokhale
Poonam Mathur
Pradeep Singrole
Ameesha Patel
Aditi Sudhir Pohankar
Shankanada Aravind
Krishna A.R.
Uttar Kumar
Pulkit Kumar
Bhupendra Singh
Charulatha
Sooraj M.K.
Neha Dhupia
Vivan Bhatena
Alma Freddi
Ishwarlal
Rajshri Deshpande
Souvik Chakraborty
Anurag Soni
Sisir. P. Mishra
Star:Na
Adnan Sami
Asawari Joshi
Shardul Bharadwaj
Meena Paliwal
Sunny Pawar
Baba Azmi
Sunil Tiwari
Aishwarya Mishra
Vijay Akula Verdhan
Arjun Rampal
Veena Malik
Aarti Gupta Surendranath
Amit Gupta
Goldie Behl
Sabreen Baker
Zara Barring
Jagdish A. Sharma
Ashraf
Jagan Shakti
Poras Beniwal
Surajkshah
Karan Vishwanath Kashyap
Monali Thakur
Karan Wahi
Avinash Walzade
Rahul Chahan
Meena Bisht
Kashmira Shah
Vinod Kambli
Kishori Shahane
Samarjit Dasgupta
Asha Chandra
Kavitha Gowda
Nadira Babbar
Padmini Kolhapure
Sathyan Anthikad
Venu Somineni
Kumar Mukund
Dev Burman
Hardik Mehta
Naina Dhalliwal
Kottarakkara Sridharan Nair
Mukul Dev
Krishna Kumar
Rakesh Sarang
Kusum Thakur
Bidita Bag
Gunasekhar
Jeet Raidutt
Dixita
Aditya Narayan
Shiv Dube
Shihoko Hagino
Donny Kapoor
Anil Chorasiya
Tarun Dutt
Sushil Malik
Siddharth Koirala
Warina Hussain
Shalini Vatsa
Urmila
Amrit Batra
Nikhil Arya
Hadi
Pankaj Vyas
Uma
Reema Debnath
Chandrashekhar Vaidya
Nirmal Rishi
Sadhya Rani
Rajeev Ankit
Apurv Bajpai
Mohan Singh Rathor
Luna
Janmendra Ahuja
Tina Ambani
Allyson Patel
Shoojit Sircar
Sidheswar Shukla
Omprakash Rao
Rameshwari
Soni Gautam
Vallabh Choksi
Aziz Sejawal
Roop Dutta Naik
Rani Mukerji
Ashish Pathode
Narendra Kapsime
Nusrat
Y.V.S. Chowdary
Mithu Mukherjee
K.C. Handra
Maya Dass
Krishna
Noushad Ullah
Deepti
Poorav Kusare
Rafeeq Khan
Meezaan Jafri
Chirag Arora
Archit D Rastogi
Mandakini Mathur
Gul Hamid
Dharmerndra Choudhary
Manorama
Kirti Adarkar
Bhagyaraj
Hitesh Kewalya
Amit Jha
Shams Tanweer
Ishwar
Firoz Khursheed Khan
Arjun Aneja
Raj Kamal
Aman
Ghazal
Mehernosh Kapadia
M. Kumar
Rashmi Dhawan
Vikramjeet Virk
Esmayeel Shroff
Ajay Kumar Singh
Rajan
Abhishek Jawkar
Mohini Nillakant
Metin Ahmet
Ronit Jadhav
Vaishali Singh Bhadoria
Linda Arsenio
Karamveer Choudhary
V. Avadhoot
Harry Josh
Deepak Rao
Mann K.
Chetan Hansraj
Tilakdhari Tripathi
Padam Saraogi
Hardan
Malvindra Jit
Usha Rathore
K.L. Kahan
Arbaaz Ali Khan
Raja Duggal
Y. Nageswara Rao
Alismita Goswami
Taimur Brhramshah
Sandeep Hemnaoni
Joginder Shelly
Adnan Sajid Khan
Aman Gupta
Dev Malhotra
Uma Vasu
Kader Khan
Shabnam Kapoor
Raj Deep
Anil Rai Mani
Prabhakar Jha
Dilip Shankar
Black Billy
Dinesh Salgia
Syed Saim Ali
Karishma Tanna
Jagatrai Pesumal Advani
Anshuman Rai
Vijay Kondke
Vijaya Mehta
Sudeep D. Mukherjee
Roshni Chopra
Satyajeet Rajput
R.k. Sharma
Mohan Segal
Nicolas Chagrin
Tinnu Verma
Roopkamal
Julia Bliss
Sadaqat Hussein
Amlan Panda
Shafi
Shashank Arora
Megha Mathur
Bhakti Chavan
Nalini
Namrata Barua
Muskaan Sinha
Sunder Muthy
Ambalika Sarkar
Janice
Tyrone Power
Aarun D. Baliean
Partha Sarkar
Hansa Rathod
Shashikumar
Mohan Das
Preeti Nigam
Sanjeev Gupta
Vishal Kumar
Chander Vohra
Dhwani Gautam
Francesco Apolloni
Thankachan
Gautam Singh
Dimple
Kamini
Malini Sharma
Star:Nirupa Roy
M.S. Viswanathan
Pooja Bedi
Mohan Katariya
Anjali Devi
Vinod Tripathi
Madalsa Sharma
Shashank Singh
Nawazuddin Siddiqui
Nagarjuna Akkineni
Manish R. Khandelwal
Ajit P. Bhairavkar
Sandeep Goel
Sham Mashalkar
Mahesh Kumar
Neelkant Gabhiye
Pankaj Kapur
Star:Mona Chaudhary
Amol Parashar
Jignesh V. Vaishnav
Aham Sharma
Ayesha Khan
Vinay Shukla
Kimi Katkar
Apoorva Arora
Zahid Ali
Ravi Kishan
Vinod Acharya
Satabdi Roy
Jaishree Patel
Pratyush Sharma
Sahil Chaddha
Saurabh Shukla
Aswin Prasad
Arbaaz Khan
Saheem Khan
Meetu Mahamna
Pankaj Badra
Hemlata Deepak
Jyoti Matwankar
Satidnya Babbar
Vidhu Vinod Chopra
Kallu Chidambaram
Saru Maini
Ram Awana
Disha Patani
Uday Tikekar
Ambadas Pawar
Ravi Sadasivuni
Ashish Gokhale
Sandhya Shetty
Chethan
Azad Jazmin
Vije Bhatia
Poornima Pathwardhan
Dipika
Raj Dayal
Sujoy Ghosh
Chinmay Mandlekar
Alok Batra
Ashish Drall
Arshad Warsi
Taranjiet Singh Namdhari
Rina Tharot
Kangna Sharma
Ahmed Khan
Nikita Vijayvargia
Raja Salim
Vicky Kaushik
Raghav Murali
Sivaranjini
Mita Vashisht
Rasika Joshi
Manto Pashupatinath
Kant Arun
Istiyak Khan
Jishu Sengupta
Aprajita Mahajan
Sathyaraj
Babbu Mann
Bharti
Raja Paranjpe
Vivaan Bhimani
Kay Kay Menon
Yamni
Rimi
Chirag Paswan
Rajkumar Bedi
Saurav Chakraborty
Hemendra Dandotiya
K. Shivram
Manoj Babu
Qaushiq Mukherjee
Aanchal Munjal
Vijay Reddy
Sabah
Govind Sakariya
Sushmita Mukherjee
Dil Kumar
Shalini Pandey
Sahil Surti
Rahul Kumar
Sarthak Pradhan
Sadiya Siddiqui
Gautam Adhikari
Kaamya Sharma
Ali Faulkner
K.S. Prakash Rao
Gulbahar Singh
Ganga
Shubham
Atul Srivastava
Apeksha Porwal
Vansh Bhardwaj
Howard Rosemeyer
Fali Mistry
Mannat Ravi
Shashi Sharma
Nilofar
Abhishek Maharshi
Mozez Singh
Manju Mishra
Nandamuri Balakrishna
Anand Abhyankar
Sham Awasthi
Somnath Mukherjee
Lucky Ali
Gopal Ray
Donal Bisht
Shyam Ralhan
Rajesh Udhwani
Siddhartha Mishra
Raaj Nadar
Chandan Roy
Jaya Prada
Zaigham Ali Syed
Padmapriya
Shyam Lal
Vaibhav Misra
Aditi Govitrikar
Naina Mondal
Jim Sarbh
Aliya Khan
Nipun Malhotra
Thriller Manju
Vijay Ratnakar Gutte
Riddhi Sen
Jamuna
Sanket Dhawan
N.D. Kothari
Kiran Rao
Narendra Grewal
Abhay Joshi
Ayushi Chatterjee
Sahil Sangha
Vijeta
Rohitash Gaud
Rajshree Ojha
Esh Gunturu
Shrikant Sharma
Avika Gor
Tripti Mitra
Seema Biswas
Jayesh Raj
Abhishek Dixit
Udit Khurana
Shashant Shah
Yash Eshawari
Ramanand Yadav
Anant Vidhaat Sharma
Kunaal Roy Kapur
Shiv Hare
Rahul Tewari
Danish Bhatt
Vats Amit
Major Sriram
Sumanth
Dakshana
Rajat
Kasi Vishwanath
Jayshree Soni
Ullhas
Surendra
Sonali Bendre
Aamir Khan
Kusum Haidar
Aron Govil
Lewis Tan
Guggu Gill
Tanikella Bharani
Supriya Pathak
Malvika Raaj
Ruby Pari
Daniela Daria
Nasir Hussain
Saroj Das
Praveen Fernandes
Vani Vashishth
Simpy Singh
Smita Tambe
Puri Jagannadh
Wamiqa Gabbi
Chandrakant Pandya
S. Deepak
Deepti Pujari
Samita Biswas
Smith Ghule
Kunal Tyagi
Araya
Pallavi Joshi
Ntasha Bhardwaj
Vishakha Jhaveri
Udayyan Raathore
Nagulan Ponnusamy
Raj Shetty
Robin Sikarwar
Jayashree Kanal
Saurab Gharipurikar
Umesh Shukla
P K Krishnan
Rama Vij
Mandana Karimi
Akash Mehta
Preetika Chauhan
Barkha Bisht
Ajay Jadeja
Kala Ranjini
Mukesh Sharma
Brajesh Rai
Rafiq Batcha
Ramkumar Shedge
Karanveer Khullar
Jai Nagra
Maria Goretti
Madhu Anand Chandhock
Sarvan Kumar
Dileep
Neha Chauhan
Diwakar Naik
Vijay Patkar
Julia
Kiran Kaur
Sanjiv Jaiswal
Rajat Bhardwaj
Mangesh Desai
Chandan Bisht
Shaheen Khan
Julian Sands
Ashok Jamuar
Maninder Singh
Muzaffar Ali
Resham Thakkar
Abinash
Vandana Bhardwaj
Agneya Singh
Sanjay M. Singh
Tejaswini Kolhapure
Abhishek Chatterjee
Dhanush
Suraj
Deepa Bakshi
Mridula Rani
Sujit Ghosh
Sonia
Kalpataru
Priyanka Mehta
Navi Bhangu
Nachiket Dighe
Sarosh Khan
Sunanda Shyamal Mitra
Jitu Thakar
Pravat Rout
Rahul Patel
Indraneil Sengupta
Amyra Dastur
Chandrima Banerjee
Satyajit Ray
Master Mahesh Kumar
Shivani Joshi
Anumeha Singh
Sapana
Pramod Moutho
Mayank Sahni
Dinesh Tiwari
Parita
Meena Sharma
Mohammed Hussain
Mukul Nag
Sher Jung Singh
Gippy Grewal
Cameron Richardson
Najmul Hussain
Avanish Pandey
Prit Kamani
Suraj Chaddha
Bala Singh
Salim Shah
Shashi Sudigala
Manini Mishra
Iravati Harshe
Pratap Saurabh
Joe Simpson
Rehan Khan
Esha Rajee
Jaganath
Ketan Mehta
Vikas Khanna
Surya Kumari
Kiran Juneja
Jiska Rickels
Tushar Pandey
Gunjann Aras
Sunil Chauhan
Ashok
Samuel Kamble
Kushagra Anand
Smita Shewale
Amar Raj
Akhtar Jehan
Sikandar Kher
Jillo
Mammootty
Jay Dev Banerjee
Ved Venugopal
Natasha Sinha
Prateek Soni
Craig Urbani
Aman Jalali
Aditi Rao Hydari
Suruchi Saklani
Nithish
Nivedita Bhargava
Krishna Singh Bisht
Anjana Mumtaz
Devayani
B. Marzban
Jeet Goswami
David Ropmay
Asifa
Krishna Vamsi
Jaiyanth Vasanth Sinha
Sanjay Jog
Chiya Dwivedi
Syna Anand
Shankar
Rajesh Shringarpure
Aditya Om
Raj Rishi
Kamini Khanna
Kumar Pradeep
Jagat Rawat
Rohit Karn Batra
S.A. Chandrashekhar
Anil Chaudhary
Lalji B. Yadav
Syed Ahmad Afzal
Sobhita Dhulipala
Bharathiraja
P.P. Bajaj
Ramesh Sippy
Kanchana
Veeni Paranjape Joglekar
Sanjiv Kishinchandani
Vinod Alva
Ashwini Bhave
Shravankumar Tiwari
Tim Lawrence
Star:Vicky Kaushal
Firoz Khan
Gaurav Mehra
Star:Sandeep Hemnaoni
Rohini Kapoor
J.S. Randhawa
Kanchana Mendis
Raakesh Babu
Din Dayal Sharma
Devbala
Gulfam Khan
Suhail
Li Yan
Rahul Bhatt
Jeneva Talwar
Nivedita Joshi
Chetan Aneja
Zubin Mehta
Star:Umashree
Ashmita Jaggi
Heramba Shankar Tripathi
Talia Bentson
Anand Kumar
Star:Jeeshan Ali
Aanaahad
Sunil Chipde
Rishy
John Justin
Kumud Chuggani
Dilawar
Amanda Rosario
Amit Mistry
Prashant Narayanan
V. Swaminathan
Thomas Munro
Prashant Barot
Piyush Kumar
Raman Kumar
Krishna Shah
Priya Kapoor
Swapna Pati
Manan
Rajesh Pathak
Prince Shah
Komal Thacker
Akshat Verma
Nikhil Kapoor
Suzanne Bernert
Amita Pathak
Juhi Bajwa
Sangay Tsheltrim
Balraj Tah
Aryeman Ramsay
Ithayan Selvakumaran
Manisha Thakur
Mika Singh
Anshul Tiwari
Urmay Rathod
A.R. Pahelwan
Arnoud Holleman
Shovon Jaman
Dilip Dhawan
Amjad Khan
Jijo Punnoose
Shobhit Khanduri
Hiranya Das
Archana Puran Singh
B.S. Thapa
Farhan Rehman Khan
Azb Dahal
Ajay Kkhundal
Mohana
Ratnesh Rai
Reena Chudasma
Arjun Manhas
Sonia Singh
Prasenjit Chatterjee
Reyhna Malhotra
Mashhoor Amrohi
Sanjeev Kumar
Amit Bhaskar
Viraj Kapoor
Siddharth Dhawan
Amit Chadda
Aparnaa Singh
Iqbal Baksh
Vishnu Sharma
Bunty Grewal
Khushi
Amitosh Nagpal
Anushka Sen
Pushpendra
Hardikar
Chandan Roy Sanyal
Sadhona Bose
Veer Arya
Rishma Malik
Jalpa Bhatt
Kasam Ali
Mohini
Azad Sham
Shashi Dhar
Bhavna Datta
Yashasvi Mishra
Mohsin
Nahush Kumar Koli
Vrajesh Hirjee
Phuntsog Dolma
Deepak Kumar Bandhu
Kashi Tiwari
Premendra
Brande Roderick
Manas Saikia
Sandeep Kumar Chandola
Maanu
Vinod Nahardih
Bunty Soorma
Sharmin Segal
Ashima Chibber
Star:Salma Agha
Sakshi Dwivedi
Abhilash Narain
Sona Chatterjee
Preeti Dayal
Qamar Jahan
Ravi Mahajan
Abhishek Tiwari
Bertwin Ravi Dsouza
Tahir Kamaal Khan
Armaan Erum
Sonal Chauhan
Suhas Kadav
Sanjay Patel
Yashodhan Rana
Bajrangi
Ravi Vide
Prashant Naik
Mustafa
Rama Murthy
Ravi Patwardhan
Sr. Balraj Vij
Nikhil Ratnaparkhi
Mirza Azhar
Sajid Khan
Rishab Chadha
Tarun Madan Chopra
Jay Sharma
Avinash Bhargava
Arun Mukherjee
Preeti Ganguli
Vikram Singh
Master Shankar
Moshin Bhat
Abhilasha
Sumeer Sabharwal
Nisha Rawal
Meenakshi
Harbans Darshan M. Arora
Ekant Babani
Rupali Suri
Prema Narayan
Rishaab Chauhaan
Shakshi Diwedi
Gurfateh Pirzada
Indrani Banerjee
Ovais Khan
Tania Nazmeen Dean
Sarath Babu
Shubham Chintamani
Shekhar Suman
Disha Yadav
Krishna Gautam
Krishna Chaturvedi
Pardeep Raja
Sonia Bajwa
Rushika Reikhi
Shaad Ali
Pooja Batra
Shourya Deep
Sheetal Bedi
Sakshi Tanwar
Rita Bhaduri
S.R. Jagannath
Sudesh Berry
Jagdish Kumar Nirmal
Lakshmi Musari
Pooja Umashankar
Kishore Kadam
Master Chaitanya
Amit Saxena
Ansh Bagri
P. Sambasiva Rao
Sanghmitra Hitaishi
Adurthi Subba Rao
A. Rashid
Neetu Pandey
Shetty
Pravin Baby
Priyanka Chopra Jonas
Sayeeda Khan
Tapas Basu
Shiladitya Moulik
Durgesh Durgesh
Reetu
Pessi Karani
Sulabha Deshpande
Vikram Chopra
Badrul Islam
Kavita Kumari
Sanjana Tiwari
Kushal Punjabi
Kallirroi Tziafeta
Lalu Ram
Javed Haider
Ayan Mukherjee
Tulip Joshi
Barry John
Lakshya Raj Anand
Niroo
Nalin Singh
Samir
Mukul Abhyankar
Sanjay Zaveri
Brij Bhushan
Motilal Khan
Tatuli Bartaia
Anwari
Shataf Figar
Hussain Dalal
Parth Sharma
Kanauj Kumar
K.N. Singh
Neerav Ghosh
Mohini Manik
Eesha Agarwal
Abhinay Deo
Mamta Kulkarni
Jatin Kumar
Abu Khan
Rekha Rao
Inaamulhaq
Himesh Reshammiya
Vishnu Shankar Belu
Harsukh Jagneshwar Bhatt
Star:Arun Bali
Ashish Tyagi
Rajiv Gopalakrishnan
Karthik Jayaram
Shailesh Chandrakant
B.R. Chopra
Ravichandran
Anuj Sullere
Sukhwant Dhadda
Sheet Chhabra
Suchi Kumar
Tarun Dhakad
Zul Vellani
Ananth Prabhu
Sukhvinder Sharma
Nishant Lal
Pradeep Kumawat
Sunil Sikand
Ankit Bhardwaj
Sachiin Joshi
Rohit Manash
Saurav Bagga
Sulbha Mantri
Jezebel
Vajid Ali
Om Puri
Tanvi Jain
Avidant Bhagat
Julia Datt
Urmila Matondkar
Joseph Mathew
Y.P. Singh
Biman Bandopadhyay
Arpit Soni
Rizwan Shaikh
Prashant Raj
Kuldeep Ruhil
Evelyn Edwards
Sadiya Azgar
Mehmood Khan
Bal Gajbar
Srinivas Sandiri
Kamal Mehra
Anant Mahadevan
Jagjeet Sandhu
Jasmin
Nakul Kapoor
Kaushalya
Rishi Jani
Pratap Purswane
Ayushi Tiwari
Aparna Kumesh
Noor Jehan
Anshuman Malhotra
Gulab
Anastasiia Kelly
Shahid Kabeer
Sharmila Tagore
Nitin Arora
Aashish Duggal
Sonal Singh
Pradhuman Singh
Amar Kakad
Ha Su Rajashekar
R.S. Ghelan
Madan Bawaria
Navya Nair
Vidyut Jammwal
Sameer Dharmadhikari
Sriram Dalton
Kant J. Parmar
Reema Mukharjee
Putli
Sudhakar Singh
Kannan Arunachalam
S.K. Luthra
Pankaj Dheer
Aaryan Adhikari
Snehal Dalvi
Bhanupriya
Ujala Baboria
Shah Rukh Khan
R.K.
Salim Amrohi
V. Ravichandran
Janki Shah
T.P. Jain
Jamie Alter
Ajay Yadav
Rakesh Dhopatkar
Shekhar Chatterjee
Karan Chabukswar
Raghav Dhir
Star:Vikas Kailash
Simran Bakshi
Mihir Kumar Sharma
Shreyash Atkar
Anupam Bhattacharya
Prateek Shukla
Suresh Naik
Satyajit Kadam
Suneil Anand
Arati Kadav
Suresh Bafna
Diana Hayden
Abhishek Mahendru
Ramesh Khatkar
Aaryan
Madhu
Dinesh Giri
Sunil Dhawan
Premkrishen Malhotra
Meer Asad Ali
Pawan Kripalani
Shamim Khan
Atul Hanwat
Vijay Solanki
Pratik Kothari
Rina Charaniya
Sachin Yardi
Rajeev Gaursingh
Wasi Khan
P. Chandrakumar
Massod Ali
Raveena Tandon
Ravi Sharma Shankar
G.G. Banerji
Ravi Bhatia
Meenoo Hooda
Raadhika Singh
Vipul Gupta
Payal Sachdeva
Sushant Singh Rajput
Amit Bose
Ansh
Supriya
Shivaji Ganesan
Zeenat Ibrahim
W.M. Khan
Ashtar Sayed
Master Jaffer
Rohit Pandey
Arshad Yusuf Pathan
Babbanlal Yadav
Devika Bhagat
Rufy Khan
Tara D'Souza
Mamta Mohandas
Komal Leels
Mrunal Thakur
Roop Singh Daman
Indrajit
Junior Dharmendra
Leela Mishra
Meghna Naidu
Arvind Swamy
Babubhai Patel
Dr. Jay
Firoz Irani
